time,rpm,timing_c1,engine_load,speed,maf,throttle,intake_air_temp,o2_sensor_voltage,o2_sensor_voltage2
1002.6,2412,25.1,30.2,110,27.79,22.0,8,0.461,0.505
1003.5,2427,26.0,32.4,110,26.61,21.7,8,0.815,0.580
1004.4,2429,26.0,35.3,109,22.45,19.6,8,0.506,0.564
1005.3,2437,25.7,37.6,110,23.85,20.4,8,0.184,0.530
1006.2,2446,25.9,40.7,111,26.56,22.7,8,0.755,0.503
1007.1,2463,27.5,47.8,112,32.31,25.0,8,0.619,0.460
1008.0,2487,27.9,49.2,112,36.01,27.7,8,0.115,0.330
1008.9,2508,28.4,52.5,113,28.77,20.8,8,0.369,0.400
1009.8,2514,27.0,44.4,114,27.51,20.6,8,0.815,0.590
1010.7,2512,27.2,37.0,115,24.75,19.6,8,0.502,0.596
1011.6,2503,28.0,32.2,114,23.49,20.0,8,0.204,0.605
1012.5,2502,27.6,33.2,113,21.67,20.8,8,0.845,0.579
1013.4,2499,26.5,41.2,115,25.57,21.6,8,0.736,0.548
1014.3,2506,27.9,43.7,115,30.10,23.1,8,0.085,0.445
1015.2,2515,30.5,52.5,113,33.32,23.9,8,0.197,0.432
1016.1,2515,28.3,49.3,114,35.01,24.8,8,0.465,0.370
1017.0,2519,27.0,46.1,115,34.45,25.1,8,0.599,0.360
1017.9,2528,30.0,49.4,115,33.89,24.9,8,0.738,0.345
1018.8,2529,30.2,49.6,115,32.99,24.3,8,0.805,0.375
1019.7,2529,31.0,51.4,116,34.81,25.1,8,0.809,0.411
1020.6,2533,29.4,49.1,116,36.45,26.7,8,0.835,0.490
1021.5,2538,26.0,42.4,116,34.87,25.5,8,0.804,0.503
1022.4,2538,28.1,45.3,116,34.96,25.5,8,0.720,0.570
1023.3,2540,31.0,51.8,115,36.06,25.3,8,0.766,0.577
1024.2,2532,28.8,44.5,115,32.44,23.7,8,0.840,0.600
1025.1,2524,27.1,39.6,115,26.82,20.4,8,0.835,0.614
1026.0,2509,26.0,42.7,114,27.95,20.6,8,0.804,0.621
1026.9,2501,26.7,43.6,114,28.41,20.9,8,0.735,0.605
1027.8,2493,27.5,45.5,114,30.52,22.7,8,0.492,0.574
1028.7,2488,26.0,45.1,114,30.29,22.6,8,0.165,0.505
1029.6,2483,26.2,43.0,113,29.74,22.4,8,0.225,0.475
1030.5,2465,27.5,24.7,113,21.91,20.0,8,0.339,0.452
1031.4,2442,28.8,23.6,112,15.18,16.9,8,0.830,0.625
1032.3,2414,30.9,20.8,110,14.49,17.3,8,0.561,0.619
1033.2,2380,23.0,29.8,109,17.32,18.1,8,0.105,0.605
1034.1,2379,23.0,38.7,108,25.89,20.8,8,0.434,0.613
